date,product_code,customer_code,date_key,year,month_name,month_short_name,quarter,year_quarter,customer,market,platform,channel,division,category,product,variant,sold_quantity,price_inr,total_amount_inr
2024-01-01,BADM4BAB38,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Badminton,Badminton Racket,BX AeroLite Badminton Racket,Advanced,22,6460,142120
2024-01-01,BADMDC6AB1,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Badminton,Badminton Racket,AX PowerDrive Badminton Racket,Even Balance,26,1820,47320
2024-01-01,BADM50C510,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Badminton,Badminton Racket,AX PowerDrive Badminton Racket,Head Heavy,15,1660,24900
2024-01-01,BADM2459FB,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Badminton,Badminton Racket,AX PowerDrive Badminton Racket,Flexible Shaft,21,1670,35070
2024-01-01,BADM9DDCED,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Badminton,Badminton Racket,AX PowerDrive Badminton Racket,Head Light,68,2320,157760
2024-01-01,BADMD11DA6,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Badminton,Badminton Racket,BX AeroLite Badminton Racket,4U Weight,123,3510,431730
2024-01-01,BADMDA1B05,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Badminton,Badminton Racket,BX AeroLite Badminton Racket,Stiff Shaft,54,3010,162540
2024-01-01,BADM376040,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Badminton,Badminton Racket,BX AeroLite Badminton Racket,Flexible Shaft,83,2250,186750
2024-01-01,BADM03A202,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Badminton,Badminton Racket,BX AeroLite Badminton Racket,Head Light,14,3980,55720
2024-01-01,BADME151E6,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Badminton,Badminton Racket,AX PowerDrive Badminton Racket,4U Weight,109,1430,155870
2024-01-01,BADMDA5EC8,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Badminton,Badminton Racket,AX PowerDrive Badminton Racket,Advanced,118,2820,332760
2024-01-01,BADM48A260,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Badminton,Badminton Racket,BX AeroLite Badminton Racket,Beginner,53,2260,119780
2024-01-01,BADM8FFE12,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Badminton,Badminton Racket,AX PowerDrive Badminton Racket,Stiff Shaft,32,3140,100480
2024-01-01,BADM1B8332,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Badminton,Badminton Racket,AX PowerDrive Badminton Racket,3U Weight,113,4910,554830
2024-01-01,BADM7E90FB,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Badminton,Badminton Racket,BX AeroLite Badminton Racket,3U Weight,60,1750,105000
2024-01-01,BASK7F5383,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Basketball,Basketball Jersey,AX DryFit Basketball Jersey,L,110,3660,402600
2024-01-01,BASKEE612D,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Basketball,Basketball,BX Grip Indoor Basketball,Size 7,45,4130,185850
2024-01-01,BASK4C69DF,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Basketball,Basketball Jersey,AX DryFit Basketball Jersey,M,111,830,92130
2024-01-01,BASK9E4294,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Basketball,Basketball,BX Grip Indoor Basketball,Size 5,124,4230,524520
2024-01-01,BASKEE32E4,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Basketball,Basketball,BX Grip Indoor Basketball,Size 6,21,1580,33180
2024-01-01,BASKE57A19,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Basketball,Basketball Hoop,HX Portable Basketball Hoop,Standard Height,72,940,67680
2024-01-01,BASK728A58,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Basketball,Basketball Shoes,RX Jump Basketball Shoes,UK 7,90,8180,736200
2024-01-01,BASKED86BF,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Basketball,Basketball Hoop,HX Portable Basketball Hoop,Adjustable Height,99,6390,632610
2024-01-01,BASK32528E,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Basketball,Basketball Shoes,RX Jump Basketball Shoes,UK 9,30,7070,212100
2024-01-01,CAMP24F868,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Camping,Tent,CX QuickPitch Tent,4 Person,94,4540,426760
2024-01-01,CAMPA3B110,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Camping,Lantern,LX BrightGlow LED Lantern,Rechargeable,16,4400,70400
2024-01-01,CAMPEE1159,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Camping,Lantern,LX BrightGlow LED Lantern,Battery,118,4600,542800
2024-01-01,CAMP7A5E65,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Camping,Camping Stove,PX MiniGas Stove,Single Burner,53,1890,100170
2024-01-01,CAMP69AF0F,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Camping,Folding Chair,MX Relax Folding Chair,XL,14,8550,119700
2024-01-01,CAMP10C410,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Camping,Ice Box,FX ChillBox Cooler,20L,22,6000,132000
2024-01-01,CAMPECAADE,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Camping,Sleeping Bag,HX WarmComfort Sleeping Bag,-5°C,39,10560,411840
2024-01-01,CAMPF24336,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Camping,Tent,CX QuickPitch Tent,2 Person,39,11540,450060
2024-01-01,CAMPE624C8,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Camping,Camping Mat,TX RollLite Sleeping Mat,15 mm,44,4980,219120
2024-01-01,CAMP11E3FA,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Camping,Folding Chair,MX Relax Folding Chair,Standard,109,7410,807690
2024-01-01,CAMPCB6B05,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Camping,Ice Box,FX ChillBox Cooler,40L,15,1160,17400
2024-01-01,CAMPDFA679,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Camping,Camping Stove,PX MiniGas Stove,Double Burner,88,1970,173360
2024-01-01,CAMP4005E6,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Camping,Camping Tools,NX MultiTool Knife Set,11-in-1,102,840,85680
2024-01-01,CRIC6888B0,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Cricket,Cricket Bat,KX Blaze Kashmir Willow Cricket Bat,Intermediate,10,3360,33600
2024-01-01,CRICE4E9A2,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Cricket,Cricket Ball,SR Strike Leather Cricket Ball,White 156g,5,4480,22400
2024-01-01,CRIC670481,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Cricket,Cricket Ball,SR Strike Leather Cricket Ball,Rubber Ball,15,1650,24750
2024-01-01,CRICCCD675,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Cricket,Cricket Batting Gloves,PX Grip Cricket Batting Gloves,Left Hand,5,9230,46150
2024-01-01,CRIC05FECB,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Cricket,Cricket Kit Bag,TRX Max Cricket Kit Bag,Heavy Duty Edition,29,1350,39150
2024-01-01,CRIC681856,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Cricket,Cricket Bat,KX Blaze Kashmir Willow Cricket Bat,Balanced Weight,10,9680,96800
2024-01-01,CRICBBFD56,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Cricket,Cricket Kit Bag,TRX Max Cricket Kit Bag,60L,32,5540,177280
2024-01-01,CRIC57FB52,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Cricket,Cricket Ball,SR Strike Leather Cricket Ball,White 142g,32,2060,65920
2024-01-01,CRIC294CD6,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Cricket,Cricket Ball,SR Strike Leather Cricket Ball,Red 156g,24,700,16800
2024-01-01,CRIC892BAA,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Cricket,Cricket Kit Bag,TRX Max Cricket Kit Bag,80L,15,6400,96000
2024-01-01,CRIC2AE4DF,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Cricket,Cricket Helmet,AX Guard Cricket Helmet,Lightweight Edition,5,6400,32000
2024-01-01,CRICC0D928,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Cricket,Cricket Kit Bag,TRX Max Cricket Kit Bag,50L,12,5270,63240
2024-01-01,CRIC1FC74E,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Cricket,Cricket Bat,KX Blaze Kashmir Willow Cricket Bat,Heavyweight,147,3630,533610
2024-01-01,CRIC905F1B,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Cricket,Cricket Batting Gloves,PX Grip Cricket Batting Gloves,Adult,600,4320,2592000
2024-01-01,CRIC35B3C7,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Cricket,Cricket Batting Gloves,PX Grip Cricket Batting Gloves,Right Hand,212,8480,1797760
2024-01-01,CRIC462BA5,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Cricket,Cricket Pads,NX Pro Cricket Leg Guards,Medium,554,5380,2980520
2024-01-01,CRICBDB8DA,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Cricket,Cricket Kit Bag,TRX Max Cricket Kit Bag,70L,380,6910,2625800
2024-01-01,CRIC1BA87E,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Cricket,Cricket Batting Gloves,PX Grip Cricket Batting Gloves,Youth,183,4960,907680
2024-01-01,CRIC7633A6,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Cricket,Cricket Kit Bag,TRX Max Cricket Kit Bag,100L,467,1500,700500
2024-01-01,CRIC8B52CE,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Cricket,Cricket Ball,SR Strike Leather Cricket Ball,Light Training 120g,625,4830,3018750
2024-01-01,CRIC538334,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Cricket,Cricket Bat,KX Blaze Kashmir Willow Cricket Bat,Short Handle,520,7270,3780400
2024-01-01,CRIC385D92,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Cricket,Cricket Pads,NX Pro Cricket Leg Guards,Small,454,4580,2079320
2024-01-01,CRICF950D4,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Cricket,Cricket Ball,SR Strike Leather Cricket Ball,Training Soft Ball,606,5170,3133020
2024-01-01,CRIC16E55F,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Cricket,Cricket Bat,KX Blaze Kashmir Willow Cricket Bat,Long Handle,497,5260,2614220
2024-01-01,CRIC02DA3C,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Cricket,Cricket Pads,NX Pro Cricket Leg Guards,Lightweight,318,4540,1443720
2024-01-01,CRIC98DB22,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Cricket,Cricket Batting Gloves,PX Grip Cricket Batting Gloves,Medium,616,5370,3307920
2024-01-01,CRICCE879E,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Cricket,Cricket Pads,NX Pro Cricket Leg Guards,Pro Edition,583,1100,641300
2024-01-01,CRIC372046,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Cricket,Cricket Bat,KX Blaze Kashmir Willow Cricket Bat,Youth,552,1540,850080
2024-01-01,CRICF6D4C2,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Cricket,Cricket Batting Gloves,PX Grip Cricket Batting Gloves,Pro Edition,402,1610,647220
2024-01-01,CRIC7270D1,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Cricket,Cricket Ball,SR Strike Leather Cricket Ball,Pink 156g,233,5140,1197620
2024-01-01,CRIC64B186,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Cricket,Cricket Helmet,AX Guard Cricket Helmet,Medium,124,3260,404240
2024-01-01,CRIC2841E6,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Cricket,Cricket Batting Gloves,PX Grip Cricket Batting Gloves,XL,209,6830,1427470
2024-01-01,CRIC2101AF,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Cricket,Cricket Pads,NX Pro Cricket Leg Guards,Youth,528,6260,3305280
2024-01-01,CRICDB62E7,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Cricket,Cricket Kit Bag,TRX Max Cricket Kit Bag,Backpack Style,573,2200,1260600
2024-01-01,CRICA7A3B4,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Cricket,Cricket Batting Gloves,PX Grip Cricket Batting Gloves,Lightweight,366,5190,1899540
2024-01-01,CRICD69383,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Cricket,Cricket Ball,SR Strike Leather Cricket Ball,Wind Ball,552,5980,3300960
2024-01-01,FISH731A02,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Fishing,Lure Kit,BX LureKit Assorted,20 Pieces,323,1070,345610
2024-01-01,FISH8CF49F,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Fishing,Tackle Box,MX Fishing Tackle Box,Medium,500,2290,1145000
2024-01-01,FISH6AC780,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Fishing,Tackle Box,MX Fishing Tackle Box,Large,94,6250,587500
2024-01-01,FISHC4F1E3,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Fishing,Lure Kit,BX LureKit Assorted,10 Pieces,498,2210,1100580
2024-01-01,FISH9C6E1A,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Fishing,Reel,PX SmoothSpin Reel,3000,492,3310,1628520
2024-01-01,FISH9DCA51,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Fishing,Fishing Rod,FX Carbon Fishing Rod,8 ft,361,4340,1566740
2024-01-01,FISHA6E17F,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Fishing,Fishing Rod,FX Carbon Fishing Rod,6 ft,172,2440,419680
2024-01-01,FOOTDA10C6,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Football,Football,NX Turf Control Football,Size 4,248,6430,1594640
2024-01-01,FOOT8B25BD,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Football,Football,FX Striker Training Football,Match Training,334,5420,1810280
2024-01-01,FOOTBCD3A9,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Football,Football Shin Guards,ShieldX Football Shinguards,Lightweight Edition,371,2070,767970
2024-01-01,FOOTC865F3,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Football,Goalkeeper Gloves,GK Defender Grip Gloves,Flat Cut Palm,531,3720,1975320
2024-01-01,FOOT9DB3E4,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Football,Football,FX Striker Training Football,Outdoor Edition,483,2370,1144710
2024-01-01,FOOTB533BF,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Football,Football Shoes,RX Sprint Football Boots,UK 7,567,2960,1678320
2024-01-01,FOOT80D996,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Football,Football,FX Striker Training Football,Hybrid Stitch,506,770,389620
2024-01-01,FOOT0CD3DE,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Football,Football Shin Guards,ShieldX Football Shinguards,Large,149,4660,694340
2024-01-01,FOOT528FB5,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Football,Football Shoes,RX Sprint Football Boots,Artificial Turf (TF),476,4670,2222920
2024-01-01,FOOT86D9A9,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Football,Goalkeeper Gloves,GK Defender Grip Gloves,Size 9,511,900,459900
2024-01-01,FOOT0E544D,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Football,Football Shin Guards,ShieldX Football Shinguards,Medium,556,2240,1245440
2024-01-01,FOOTF63A17,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Football,Football Shoes,RX Sprint Football Boots,Soft Ground (SG),372,7860,2923920
2024-01-01,FOOT93E2C6,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Football,Football Shoes,RX Sprint Football Boots,Firm Ground (FG),561,2600,1458600
2024-01-01,FOOT2BAAAD,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Football,Football,NX Turf Control Football,Hard Grip Surface,543,1430,776490
2024-01-01,FOOT9B3291,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Football,Football,FX Striker Training Football,High Bounce,241,3510,845910
2024-01-01,FOOT7DA9E9,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Football,Football Shoes,RX Sprint Football Boots,UK 8,226,8470,1914220
2024-01-01,FOOT6681B1,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Football,Football,NX Turf Control Football,Outdoor Turf,173,2010,347730
2024-01-01,FOOT2271DD,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Football,Football,NX Turf Control Football,Match Turf Edition,316,4620,1459920
2024-01-01,FOOT614FC7,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Football,Football,NX Turf Control Football,Size 3,372,5160,1919520
2024-01-01,FOOT41CE85,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Football,Football,NX Turf Control Football,Indoor Turf,438,1990,871620
2024-01-01,FOOTC136F5,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Football,Goalkeeper Gloves,GK Defender Grip Gloves,Roll Finger,96,5180,497280
2024-01-01,FOOT7EB7BC,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Football,Football,VX Match Premier Football,Thermo Bonded,3,3140,9420
2024-01-01,FOOT17860D,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Football,Goalkeeper Gloves,GK Defender Grip Gloves,Size 6,3,1290,3870
2024-01-01,FOOT63FDD7,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Football,Football Shin Guards,ShieldX Football Shinguards,Ankle Protection,1,7680,7680
2024-01-01,FOOT21667B,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Football,Football,VX Match Premier Football,Pro Cushioning,5,7320,36600
2024-01-01,FOOTFCA276,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Football,Football,VX Match Premier Football,FIFA Quality Pro,2,2640,5280
2024-01-01,FOOTD3B001,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Football,Football,NX Turf Control Football,Rubber Outer Shell,5,4540,22700
2024-01-01,FOOT65813B,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Football,Football,VX Match Premier Football,FIFA Basic Certified,5,5490,27450
2024-01-01,FOOT4A3199,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Football,Football Shin Guards,ShieldX Football Shinguards,Youth,2,3320,6640
2024-01-01,FOOTFA6CB6,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Football,Football,VX Match Premier Football,Size 5,1,3750,3750
2024-01-01,FOOT424157,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Football,Football Shin Guards,ShieldX Football Shinguards,Adult,6,2010,12060
2024-01-01,FOOT67945A,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Football,Goalkeeper Gloves,GK Defender Grip Gloves,GripMax Latex,3,1160,3480
2024-01-01,FOOTAB35F3,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Football,Football Shoes,RX Sprint Football Boots,UK 9,2,7770,15540
2024-01-01,FOOT489639,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Football,Football Shoes,RX Sprint Football Boots,Wide Fit,4,7800,31200
2024-01-01,FOOT49D279,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Football,Football Shin Guards,ShieldX Football Shinguards,With Straps,1,4380,4380
2024-01-01,HNDLA1722E,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Handball,Handball Accessories,NX Resin Handball Grip,Standard,6,1340,8040
2024-01-01,HNDL03C073,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Handball,Handball,HX Grip Handball,Size 0,2,1370,2740
2024-01-01,HNDL9B1B7D,70002017,202401,2024,January,Jan,Q1,2024-Q1,Sporty Essentials,India,Brick & Mortar,Retailer,Handball,Handball,HX Grip Handball,Size 1,4,2490,9960
